user_id,user_name,user_email_address,user_phone_number,role_id,commission_rate
USE42561,Inessa Aliman,inessa.aliman@gmail.com,+44 01296737744,ROL00001,1
USE88869,Julienne Staines,julienne.staines@gmail.com,+44 01135122930,ROL00002,3
USE69267,Tally Settle,tally.settle@gmail.com,+44 05350036282,ROL00003,15
USE90173,Trip Oag,trip.oag@gmail.com,+44 04751607269,ROL00004,5
USE97715,Klaus Gudyer,klaus.gudyer@gmail.com,+44 02592803569,ROL00005,20
USE98230,Doreen Tommen,doreen.tommen@gmail.com,+44 07236853715,ROL00006,29
USE17947,Tull Thrift,tull.thrift@gmail.com,+44 00878571552,ROL00007,22
USE35653,Obidiah Willmetts,obidiah.willmetts@gmail.com,+44 05883876214,ROL00008,16
USE02355,Gan Piatkow,gan.piatkow@gmail.com,+44 03168112119,ROL00009,7
USE42547,Griff Checcucci,griff.checcucci@gmail.com,+44 08728025650,ROL00010,18
USE01758,Becca Baugham,becca.baugham@gmail.com,+44 03263018809,ROL00011,26
USE30167,Garrik Gaynor,garrik.gaynor@gmail.com,+44 04076078838,ROL00012,17
USE46703,Kay Newbery,kay.newbery@gmail.com,+44 05625782333,ROL00013,10
USE70047,Bondie Truelock,bondie.truelock@gmail.com,+44 01111403245,ROL00014,16
USE47430,Michelina Greengrass,michelina.greengrass@gmail.com,+44 08073869212,ROL00015,23
USE23457,Riannon Gwioneth,riannon.gwioneth@gmail.com,+44 03825023256,ROL00016,16
USE16130,Bunni Mitchely,bunni.mitchely@gmail.com,+44 09694596300,ROL00017,18
USE64167,Rollin Snap,rollin.snap@gmail.com,+44 01184207071,ROL00018,9
USE95961,Dur Fontin,dur.fontin@gmail.com,+44 03849459690,ROL00019,24
USE24976,Horst Powner,horst.powner@gmail.com,+44 05867541735,ROL00020,7
USE34324,Theobald Phippen,theobald.phippen@gmail.com,+44 04254099681,ROL00021,1
USE51109,Lindon Spitaro,lindon.spitaro@gmail.com,+44 00886617146,ROL00022,11
USE86666,Noach Cleminson,noach.cleminson@gmail.com,+44 07839815043,ROL00023,17
USE67246,Jeanie Glancey,jeanie.glancey@gmail.com,+44 08935140517,ROL00024,4
USE08403,Fulvia Durie,fulvia.durie@gmail.com,+44 09063019260,ROL00025,5
USE08695,Ari Raunds,ari.raunds@gmail.com,+44 00221005089,ROL00026,18
USE21508,Bealle Cunrado,bealle.cunrado@gmail.com,+44 01224622017,ROL00027,27
USE83708,Eliot Ciccottini,eliot.ciccottini@gmail.com,+44 06679084803,ROL00028,30
USE21141,Linea Wrettum,linea.wrettum@gmail.com,+44 06637112935,ROL00029,12
USE02936,Maurice Godber,maurice.godber@gmail.com,+44 05254794650,ROL00030,27
USE27298,Samson Philipps,samson.philipps@gmail.com,+44 09268012426,ROL00031,10
USE48045,Morie Abbess,morie.abbess@gmail.com,+44 09840679831,ROL00032,14
USE14736,Eyde Feldon,eyde.feldon@gmail.com,+44 00815501350,ROL00033,16
USE40632,Marjorie Witham,marjorie.witham@gmail.com,+44 02173554295,ROL00034,17
USE78824,Grayce Fozzard,grayce.fozzard@gmail.com,+44 07497566798,ROL00035,NA
USE69950,Marrissa Papes,marrissa.papes@gmail.com,+44 07625189777,ROL00036,NA
USE35312,Nicolis Blenkinsopp,nicolis.blenkinsopp@gmail.com,+44 01963781430,ROL00037,NA
USE80270,Petronella Brunsdon,petronella.brunsdon@gmail.com,+44 09092192170,ROL00038,NA
USE83997,Humfrid Lube,humfrid.lube@gmail.com,+44 07762252130,ROL00039,NA
USE00580,Rebeca O'Kinedy,rebeca.o'kinedy@gmail.com,+44 06930090642,ROL00040,NA
USE47457,Clarinda Jubb,clarinda.jubb@gmail.com,+44 09904549824,ROL00041,NA
USE20796,Matthew Cowpe,matthew.cowpe@gmail.com,+44 08172068110,ROL00042,NA
USE46118,Brenden Bebb,brenden.bebb@gmail.com,+44 02471207630,ROL00043,NA
USE42029,Genevieve Goolding,genevieve.goolding@gmail.com,+44 04125857758,ROL00044,NA
USE69474,Fidela Ramelot,fidela.ramelot@gmail.com,+44 01494523105,ROL00045,NA
USE88355,Cristionna Stopforth,cristionna.stopforth@gmail.com,+44 09947642587,ROL00046,NA
USE35777,Gwynne Baggalley,gwynne.baggalley@gmail.com,+44 06015516708,ROL00047,NA
USE55077,Vick Timmens,vick.timmens@gmail.com,+44 02146687603,ROL00048,NA
USE60350,Tamarra Jewes,tamarra.jewes@gmail.com,+44 01335418576,ROL00049,NA
USE81243,Carce Ivashkov,carce.ivashkov@gmail.com,+44 03142999992,ROL00050,NA
